LineNo,TimeUS,Status,GMS,GWk,NSats,HDop,Lat,Lng,Alt,Spd,GCrs,VZ,U
14501,2960300205,4,466324600,1949,9,0.97,47.4985945,19.1990605,147.17,0.07615773,336.8014,-0.03,1
14563,2960500118,4,466324800,1949,9,0.97,47.4985943,19.1990605,147.13,0.08062258,209.7449,0.11,1
14625,2960700119,4,466325000,1949,9,0.97,47.4985941,19.1990605,147.11,0.08485281,135,0.09,1
14685,2960900216,4,466325200,1949,9,0.97,47.498594,19.1990607,147.11,0.0728011,164.0546,0.03,1
14745,2961100164,4,466325400,1949,9,0.97,47.4985937,19.199061,146.99,0.1649242,165.9637,0.24,1
14805,2961300194,4,466325600,1949,9,0.97,47.4985935,19.1990612,146.92,0.02,90,0.09,1
14868,2961500160,4,466325800,1949,9,0.97,47.4985932,19.1990616,146.94,0.2906888,139.1849,0.09,1
14928,2961719893,4,466326000,1949,9,0.97,47.4985929,19.199062,146.91,0.08602325,144.4623,0.02,1
14988,2961900113,4,466326200,1949,9,0.97,47.4985928,19.1990621,146.93,0.02828427,225,0.04,1
15048,2962100265,4,466326400,1949,9,0.97,47.4985925,19.1990623,146.88,0.13,157.3801,0.06,1
15110,2962300070,4,466326600,1949,9,0.97,47.4985922,19.1990627,146.84,0.1280625,141.3402,-0.07,1
15172,2962500177,4,466326800,1949,9,0.97,47.4985919,19.1990631,146.8,0.2483948,139.8991,0.18,1
15234,2962699941,4,466327000,1949,9,0.97,47.4985916,19.1990634,146.78,0.02236068,153.435,-0.06,1
15294,2962900198,4,466327200,1949,9,0.97,47.4985912,19.1990636,146.73,0.3206244,176.4237,0.13,1
15354,2963100148,4,466327400,1949,9,0.97,47.498591,19.1990637,146.67,0.1403567,355.9144,-0.03,1
15415,2963300165,4,466327600,1949,9,0.97,47.4985911,19.1990637,146.66,0.09055385,353.6598,-0.01,1
15477,2963500027,4,466327800,1949,9,0.97,47.498591,19.1990639,146.61,0.07211103,146.3099,0.08,1
15539,2963700023,4,466328000,1949,9,0.97,47.498591,19.1990638,146.56,0.1843909,319.3987,0.05,1
15599,2963900171,4,466328200,1949,9,0.97,47.4985911,19.1990637,146.55,0.07071067,315,0.01,1
15659,2964100041,4,466328400,1949,9,0.97,47.4985912,19.1990636,146.57,0.06082762,350.5377,0.05,1
15720,2964299835,4,466328600,1949,9,0.97,47.4985909,19.199064,146.45,0.2545584,135,0.18,1
15782,2964500109,4,466328800,1949,9,0.97,47.4985908,19.1990642,146.44,0.03605551,326.3099,0.12,1
15842,2964699866,4,466329000,1949,9,0.97,47.4985905,19.1990644,146.39,0.2952965,151.6992,0.07,1
15904,2964900169,4,466329200,1949,9,0.97,47.4985902,19.1990646,146.36,0.05,216.8699,0,1
15962,2965080324,4,466329400,1949,9,0.97,47.49859,19.1990646,146.3,0.06708204,116.565,0.06,1
16024,2965300165,4,466329600,1949,9,0.97,47.4985899,19.1990647,146.33,0.05,143.1301,0.07,1
16086,2965499886,4,466329800,1949,9,0.97,47.4985899,19.1990645,146.34,0.1280625,321.3402,-0.04,1
16146,2965699881,4,466330000,1949,9,0.97,47.4985899,19.1990645,146.32,0.08944272,63.43495,-0.02,1
16206,2965900053,4,466330200,1949,9,0.97,47.4985898,19.1990647,146.28,0.04242641,135,0,1
16268,2966099891,4,466330400,1949,9,0.97,47.4985897,19.1990647,146.28,0.0728011,164.0546,-0.02,1
16328,2966299982,4,466330600,1949,9,0.97,47.4985896,19.1990647,146.27,0.02236068,333.4349,0,1
16391,2966499991,4,466330800,1949,9,0.97,47.4985893,19.1990648,146.16,0.1824829,170.5377,0.21,1
16451,2966699900,4,466331000,1949,9,0.97,47.4985892,19.1990649,146.15,0.1526434,31.6075,0.03,1
16511,2966900168,4,466331200,1949,9,0.97,47.4985891,19.1990649,146.19,0.2302173,182.4896,0.2,1
16571,2967099833,4,466331400,1949,9,0.97,47.4985888,19.199065,146.13,0.1204159,138.3665,0.07,1
16633,2967299900,4,466331600,1949,9,0.97,47.4985888,19.1990651,146.1,0.2418677,352.875,-0.08,1
16695,2967499947,4,466331800,1949,9,0.97,47.4985889,19.199065,146.07,0.05,216.8699,0.14,1
16755,2967700113,4,466332000,1949,9,0.97,47.4985888,19.1990651,146.04,0.05385165,21.80141,0.12,1
16815,2967899885,4,466332200,1949,9,0.97,47.4985887,19.1990651,145.99,0.09999999,180,0.19,1
16875,2968100099,4,466332400,1949,9,0.97,47.4985886,19.1990651,145.97,0.05,270,0.09,1
16936,2968300007,4,466332600,1949,9,0.97,47.4985888,19.1990649,146.05,0.1019804,348.6901,-0.09,1
16998,2968500029,4,466332800,1949,9,0.97,47.4985888,19.199065,146.04,0.05656854,135,0.05,1
17060,2968700177,4,466333000,1949,9,0.97,47.4985888,19.1990651,146.01,0.06082762,9.462321,0.05,1
17120,2968900056,4,466333200,1949,9,0.97,47.4985888,19.1990653,145.98,0.14,90,0.19,1
17180,2969100072,4,466333400,1949,9,0.97,47.4985888,19.1990656,145.86,0.09486832,18.43495,0.01,1
17239,2969280112,4,466333600,1949,9,0.97,47.4985889,19.1990657,145.87,0.05656854,45,0.09999999,1
